494	3625	9	6.0
495	3635	9	6.0
496	3645	9	6.0
497	3607	9	6.0
498	3627	9	6.0
499	3637	9	6.0
500	3647	9	6.0
501	3608	9	6.0
502	3618	9	6.0
503	3628	9	6.0
504	3638	9	6.0
505	3648	9	6.0
506	3658	9	6.0
507	4022	10	5.0
508	4024	10	5.0
509	4025	10	5.0
510	4027	10	5.0
511	4042	10	5.0
512	4044	10	5.0
513	4045	10	5.0
514	4047	10	5.0
515	4122	10	5.0
516	4124	10	5.0
517	4125	10	5.0
518	4127	10	5.0
519	4142	10	5.0
520	4144	10	5.0
521	4145	10	5.0
522	4147	10	5.0
523	4222	11	5.0
524	4224	11	5.0
525	4225	11	5.0
526	4227	11	5.0
527	4242	11	5.0
528	4244	11	5.0
529	4245	11	5.0
530	4247	11	5.0
531	4322	11	5.0
532	4324	11	5.0
533	4325	11	5.0
534	4327	11	5.0
535	4342	11	5.0
536	4344	11	5.0
537	4345	11	5.0
538	4347	11	5.0
539	4422	12	5.0
540	4424	12	5.0
541	4425	12	5.0
542	4427	12	5.0
543	4442	12	5.0
544	4444	12	5.0
545	4445	12	5.0
546	4447	12	5.0
547	4522	12	5.0
548	4524	12	5.0
549	4525	12	5.0
550	4527	12	5.0
551	4542	12	5.0
552	4544	12	5.0
553	4545	12	5.0
554	4547	12	5.0
555	5001	10	5.0
556	5021	10	5.0
557	5041	10	5.0
558	5061	10	5.0
559	5008	10	5.0
560	5028	10	5.0
561	5048	10	5.0
562	5068	10	5.0
563	5101	10	5.0
564	5121	10	5.0
565	5141	10	5.0
566	5161	10	5.0
567	5108	10	5.0
568	5128	10	5.0
569	5148	10	5.0
570	5168	10	5.0
571	5201	11	5.0
572	5221	11	5.0
573	5241	11	5.0
574	5261	11	5.0
575	5208	11	5.0
576	5228	11	5.0
577	5248	11	5.0
578	5268	11	5.0
579	5301	11	5.0
580	5321	11	5.0
581	5341	11	5.0
582	5361	11	5.0
583	5308	11	5.0
584	5328	11	5.0
585	5348	11	5.0
586	5368	11	5.0
587	5401	12	5.0
588	5421	12	5.0
589	5441	12	5.0
590	5461	12	5.0
591	5408	12	5.0
592	5428	12	5.0
593	5448	12	5.0
594	5468	12	5.0
595	5501	12	5.0
596	5521	12	5.0
597	5541	12	5.0
