Nodes:
ID, X, Y, Z
352, 17.500, 8.500, 0.000
353, 17.200, 9.000, 0.000
354, 16.900, 9.500, 0.000
355, 24.350, 0.500, 0.000
356, 24.000, 1.000, 0.000
357, 23.650, 1.500, 0.000
358, 23.300, 2.000, 0.000
359, 22.950, 2.500, 0.000
360, 22.600, 3.000, 0.000
361, 22.250, 3.500, 0.000
362, 21.900, 4.000, 0.000
363, 21.550, 4.500, 0.000
364, 21.200, 5.000, 0.000
365, 20.850, 5.500, 0.000
366, 20.500, 6.000, 0.000
367, 20.150, 6.500, 0.000
368, 19.800, 7.000, 0.000
369, 19.450, 7.500, 0.000
370, 19.100, 8.000, 0.000
371, 18.750, 8.500, 0.000
372, 18.400, 9.000, 0.000
373, 18.050, 9.500, 0.000
374, 26.400, 0.500, 0.000
375, 26.000, 1.000, 0.000
376, 25.600, 1.500, 0.000
377, 25.200, 2.000, 0.000
378, 24.800, 2.500, 0.000
379, 24.400, 3.000, 0.000
380, 24.000, 3.500, 0.000
381, 23.600, 4.000, 0.000
382, 23.200, 4.500, 0.000
383, 22.800, 5.000, 0.000
384, 22.400, 5.500, 0.000
385, 22.000, 6.000, 0.000
386, 21.600, 6.500, 0.000
387, 21.200, 7.000, 0.000
388, 20.800, 7.500, 0.000
389, 20.400, 8.000, 0.000
390, 20.000, 8.500, 0.000
391, 19.600, 9.000, 0.000
392, 19.200, 9.500, 0.000
393, 28.450, 0.500, 0.000
394, 28.000, 1.000, 0.000
395, 27.550, 1.500, 0.000
396, 27.100, 2.000, 0.000
397, 26.650, 2.500, 0.000
398, 26.200, 3.000, 0.000
399, 25.750, 3.500, 0.000
400, 25.300, 4.000, 0.000
401, 24.850, 4.500, 0.000
402, 24.400, 5.000, 0.000
403, 23.950, 5.500, 0.000
404, 23.500, 6.000, 0.000
405, 23.050, 6.500, 0.000
406, 22.600, 7.000, 0.000
407, 22.150, 7.500, 0.000
408, 21.700, 8.000, 0.000
409, 21.250, 8.500, 0.000
410, 20.800, 9.000, 0.000
411, 20.350, 9.500, 0.000
412, 30.500, 0.500, 0.000
413, 30.000, 1.000, 0.000
414, 29.500, 1.500, 0.000
415, 29.000, 2.000, 0.000
416, 28.500, 2.500, 0.000
417, 28.000, 3.000, 0.000
418, 27.500, 3.500, 0.000
419, 27.000, 4.000, 0.000
420, 26.500, 4.500, 0.000
421, 26.000, 5.000, 0.000
422, 25.500, 5.500, 0.000
423, 25.000, 6.000, 0.000
424, 24.500, 6.500, 0.000
425, 24.000, 7.000, 0.000
426, 23.500, 7.500, 0.000
427, 23.000, 8.000, 0.000
428, 22.500, 8.500, 0.000
429, 22.000, 9.000, 0.000
430, 21.500, 9.500, 0.000
431, 32.550, 0.500, 0.000
432, 32.000, 1.000, 0.000
433, 31.450, 1.500, 0.000
434, 30.900, 2.000, 0.000
435, 30.350, 2.500, 0.000
436, 29.800, 3.000, 0.000
437, 29.250, 3.500, 0.000
438, 28.700, 4.000, 0.000
439, 28.150, 4.500, 0.000
440, 27.600, 5.000, 0.000
441, 27.050, 5.500, 0.000
442, 26.500, 6.000, 0.000
443, 25.950, 6.500, 0.000
444, 25.400, 7.000, 0.000
445, 24.850, 7.500, 0.000
446, 24.300, 8.000, 0.000
447, 23.750, 8.500, 0.000
448, 23.200, 9.000, 0.000
449, 22.650, 9.500, 0.000
450, 34.600, 0.500, 0.000
451, 34.000, 1.000, 0.000
452, 33.400, 1.500, 0.000
453, 32.800, 2.000, 0.000
454, 32.200, 2.500, 0.000
455, 31.600, 3.000, 0.000
456, 31.000, 3.500, 0.000
457, 30.400, 4.000, 0.000
458, 29.800, 4.500, 0.000
459, 29.200, 5.000, 0.000
460, 28.600, 5.500, 0.000
461, 28.000, 6.000, 0.000
462, 27.400, 6.500, 0.000
463, 26.800, 7.000, 0.000
464, 26.200, 7.500, 0.000
465, 25.600, 8.000, 0.000
466, 25.000, 8.500, 0.000
467, 24.400, 9.000, 0.000
468, 23.800, 9.500, 0.000
469, 36.650, 0.500, 0.000
470, 36.000, 1.000, 0.000
471, 35.350, 1.500, 0.000
472, 34.700, 2.000, 0.000
473, 34.050, 2.500, 0.000
474, 33.400, 3.000, 0.000
475, 32.750, 3.500, 0.000
476, 32.100, 4.000, 0.000
477, 31.450, 4.500, 0.000
478, 30.800, 5.000, 0.000
479, 30.150, 5.500, 0.000
480, 29.500, 6.000, 0.000
481, 28.850, 6.500, 0.000
482, 28.200, 7.000, 0.000
483, 27.550, 7.500, 0.000
484, 26.900, 8.000, 0.000
485, 26.250, 8.500, 0.000
486, 25.600, 9.000, 0.000
487, 24.950, 9.500, 0.000
488, 38.700, 0.500, 0.000
489, 38.000, 1.000, 0.000
490, 37.300, 1.500, 0.000
491, 36.600, 2.000, 0.000
492, 35.900, 2.500, 0.000
493, 35.200, 3.000, 0.000
494, 34.500, 3.500, 0.000
