dts,Node_264,Node_449,Node_909
4.11,0.244153,0.267819,0.21406
4.12,0.244021,0.267515,0.213928
4.13,0.24386,0.267086,0.213686
4.14,0.243635,0.266505,0.213375
4.15,0.243329,0.265766,0.212983
4.16,0.242938,0.264883,0.212468
4.17,0.242449,0.263849,0.211885
4.18,0.241884,0.26268,0.211269
4.19,0.241255,0.261374,0.210571
4.2,0.240542,0.259935,0.209734
4.21,0.239745,0.258391,0.208722
4.22,0.238917,0.25673,0.207498
4.23,0.238077,0.254956,0.206028
4.24,0.237241,0.253077,0.204291
4.25,0.236471,0.251084,0.20227
4.26,0.235732,0.248988,0.199956
4.27,0.234898,0.246766,0.19739
4.28,0.233854,0.244346,0.194592
4.29,0.232586,0.241706,0.191517
4.3,0.23105,0.238868,0.188155
4.31,0.229303,0.235832,0.184532
4.32,0.227615,0.232624,0.18066
4.33,0.226337,0.229281,0.176595
4.34,0.225414,0.225798,0.172381
4.35,0.224525,0.222156,0.168058
4.36,0.223588,0.218343,0.163692
4.37,0.222556,0.214345,0.159133
4.38,0.2214,0.210189,0.154218
4.39,0.220294,0.205902,0.149123
4.4,0.219443,0.201456,0.144069
4.41,0.218876,0.196968,0.139115
4.42,0.21853,0.192713,0.134278
4.43,0.218374,0.188792,0.12957
4.44,0.218481,0.185132,0.125033
4.45,0.218851,0.181766,0.120712
4.46,0.219629,0.178713,0.116595
4.47,0.220856,0.175963,0.112667
4.48,0.222401,0.173505,0.108916
4.49,0.224125,0.171297,0.105332
4.5,0.225842,0.169366,0.101928
4.51,0.227487,0.167693,0.0987218
4.52,0.229099,0.166312,0.095735
4.53,0.230763,0.165228,0.0929898
4.54,0.232325,0.164418,0.0904934
4.55,0.233411,0.1639,0.0882218
4.56,0.233816,0.16359,0.086178
4.57,0.233831,0.16346,0.0843435
4.58,0.233667,0.163725,0.0826356
4.59,0.233266,0.164527,0.0811595
4.6,0.232731,0.165571,0.0801342
4.61,0.232267,0.166542,0.0793714
4.62,0.231876,0.167279,0.0785009
4.63,0.231451,0.167699,0.077585
4.64,0.231026,0.167793,0.0765689
4.65,0.230452,0.167585,0.0753076
4.66,0.229621,0.167082,0.0738366
4.67,0.228625,0.166319,0.0721307
4.68,0.227481,0.165365,0.070197
4.69,0.226273,0.16421,0.0680131
4.7,0.225115,0.162814,0.0655778
4.71,0.224086,0.161165,0.0630477
4.72,0.223337,0.159258,0.0603412
4.73,0.222854,0.157102,0.057336
4.74,0.222706,0.154742,0.0540163
4.75,0.222812,0.152189,0.0502106
4.76,0.223019,0.149514,0.0461365
4.77,0.223315,0.146771,0.042066
4.78,0.223651,0.143888,0.0380317
4.79,0.224093,0.140794,0.0341903
4.8,0.224728,0.137699,0.0305389
4.81,0.22547,0.134782,0.0270584
4.82,0.226379,0.132109,0.0238172
4.83,0.227464,0.129761,0.0207637
4.84,0.228699,0.12769,0.0179279
4.85,0.230134,0.125855,0.0152724
4.86,0.231741,0.124264,0.0127418
4.87,0.233428,0.122932,0.0103967
4.88,0.235238,0.121846,0.00822311
4.89,0.237307,0.120989,0.00629075
4.9,0.239576,0.120388,0.00462348
4.91,0.241902,0.120026,0.00319573
4.92,0.244222,0.119918,0.00203562
4.93,0.246538,0.120083,0.00112267
4.94,0.24886,0.120532,0.000462968
4.95,0.251226,0.121298,0.000103505
4.96,0.253632,0.12235,4.78788e-05
4.97,0.256046,0.12365,0.000262606
4.98,0.25846,0.125376,0.000643433
4.99,0.260828,0.127686,0.00122104
5.0,0.263126,0.130257,0.0020264
5.01,0.265388,0.132748,0.00293794
5.02,0.26765,0.135015,0.00385031
5.03,0.269971,0.137004,0.00471181
5.04,0.272383,0.138743,0.00552134
5.05,0.274872,0.140287,0.00630782
5.06,0.277401,0.141653,0.00714135
5.07,0.279929,0.142908,0.00809543
5.08,0.282439,0.144087,0.00915988
5.09,0.284905,0.145171,0.0103213
5.1,0.287298,0.14618,0.0115824
5.11,0.289592,0.147122,0.0129311
5.12,0.291799,0.148056,0.0143067
5.13,0.293957,0.149,0.0156743
5.14,0.296054,0.149949,0.0170494
5.15,0.298024,0.150862,0.018439
5.16,0.299752,0.151745,0.0199237
5.17,0.301164,0.152679,0.0215142
5.18,0.302326,0.153743,0.0231528
5.19,0.303367,0.155035,0.0248897
5.2,0.304413,0.15659,0.0268068
5.21,0.305554,0.15841,0.0289278
5.22,0.306799,0.160466,0.0311321
5.23,0.308122,0.162696,0.0332799
5.24,0.309474,0.16502,0.0353612
5.25,0.310793,0.167318,0.0373892
5.26,0.312047,0.169526,0.0393821
5.27,0.313282,0.171605,0.0413459
5.28,0.314572,0.17355,0.0432479
5.29,0.315909,0.175368,0.0450969
5.3,0.317244,0.177088,0.0468949
5.31,0.318512,0.178735,0.0486114
5.32,0.319658,0.180314,0.0502157
5.33,0.320773,0.181822,0.0516881
5.34,0.321978,0.183241,0.053052
5.35,0.323282,0.184555,0.0543107
5.36,0.324542,0.185764,0.0554005
5.37,0.32567,0.186893,0.0562266
5.38,0.32672,0.188021,0.0568818
5.39,0.327716,0.189189,0.0575415
5.4,0.328675,0.190363,0.0581631
5.41,0.329602,0.19152,0.0587227
5.42,0.330458,0.192644,0.0592535
5.43,0.331232,0.193707,0.0598142
5.44,0.331924,0.194673,0.0604549
5.45,0.332533,0.195531,0.0611357
5.46,0.333049,0.196297,0.0618086
5.47,0.333461,0.196981,0.0624031
5.48,0.333772,0.197578,0.0628924
5.49,0.334029,0.198072,0.063302
5.5,0.334218,0.198452,0.0636433
5.51,0.334246,0.19873,0.0638719
5.52,0.334086,0.198949,0.0639859
5.53,0.333709,0.199134,0.0640314
5.54,0.333101,0.199281,0.0639558
5.55,0.332302,0.199367,0.0637027
5.56,0.331402,0.199388,0.0632838
5.57,0.330518,0.199364,0.0627614
5.58,0.329636,0.199282,0.0621772
5.59,0.328734,0.199121,0.0614419
5.6,0.327845,0.198894,0.060532
5.61,0.326954,0.19864,0.0596057
5.62,0.326033,0.198362,0.0587005
5.63,0.325037,0.19803,0.0577792
5.64,0.323907,0.19761,0.0568966
5.65,0.322647,0.197073,0.0560842
5.66,0.321295,0.19644,0.0553046
5.67,0.319996,0.19575,0.0545067
5.68,0.318865,0.19502,0.0536782
5.69,0.317877,0.194205,0.0527679
5.7,0.316993,0.193279,0.051744
5.71,0.316135,0.192224,0.0505848
5.72,0.315245,0.191033,0.0492761
5.73,0.31433,0.189698,0.0479175
5.74,0.313391,0.188236,0.0465637
5.75,0.312443,0.186696,0.0451691
5.76,0.311497,0.185095,0.0437317
5.77,0.310644,0.183437,0.0422913
5.78,0.309934,0.181688,0.040876
5.79,0.309333,0.17985,0.0395034
5.8,0.308792,0.177959,0.038193
5.81,0.308299,0.176192,0.0369931
5.82,0.307892,0.174617,0.0359501
5.83,0.307624,0.173188,0.0350591
5.84,0.307501,0.171818,0.0342596
5.85,0.307473,0.170474,0.0334573
5.86,0.307503,0.169108,0.0326209
5.87,0.307593,0.167707,0.0317412
5.88,0.307716,0.16631,0.0308216
5.89,0.307857,0.164939,0.0298991
5.9,0.308056,0.163629,0.0290134
5.91,0.30836,0.162422,0.0282056
5.92,0.308797,0.161365,0.0274925
5.93,0.309333,0.160486,0.0268944
5.94,0.30991,0.159781,0.0264281
5.95,0.31053,0.159251,0.0260769
5.96,0.311211,0.1589,0.0258596
5.97,0.311916,0.158724,0.0257597
5.98,0.312534,0.158702,0.0256918
5.99,0.312966,0.158795,0.025615
6.0,0.313157,0.158948,0.025515
6.01,0.313094,0.159133,0.0253796
6.02,0.312877,0.159313,0.0252099
6.03,0.312607,0.159455,0.0250047
6.04,0.312295,0.159536,0.024734
6.05,0.311965,0.159528,0.0243686
6.06,0.311648,0.15941,0.0239063
6.07,0.311386,0.159194,0.0233482
6.08,0.31129,0.158897,0.0226906
6.09,0.311403,0.15852,0.0219325
6.1,0.311668,0.158044,0.0210638
6.11,0.312081,0.157427,0.0200659
6.12,0.312665,0.156682,0.0189399
6.13,0.313374,0.155907,0.0177087
6.14,0.31412,0.155139,0.0163815
6.15,0.314834,0.154399,0.0149794
6.16,0.315513,0.153714,0.0135488
6.17,0.316195,0.153111,0.0121189
6.18,0.316922,0.152593,0.0107086
6.19,0.317707,0.15215,0.00934813
6.2,0.318539,0.151774,0.00802885
6.21,0.319439,0.151452,0.00673701
6.22,0.320437,0.1512,0.00548258
6.23,0.321517,0.151028,0.00428995
6.24,0.322639,0.150925,0.0031813
6.25,0.323777,0.150877,0.00216131
6.26,0.324908,0.150882,0.00124095
6.27,0.325992,0.150958,0.000434967
6.28,0.326996,0.151146,-0.000256634
6.29,0.327887,0.15146,-0.000843067
6.3,0.328626,0.151898,-0.00129991
6.31,0.329253,0.152459,-0.001574
6.32,0.329847,0.153147,-0.00165274
6.33,0.330428,0.153969,-0.00158758
6.34,0.330995,0.154893,-0.00142039
6.35,0.331574,0.1559,-0.00107821
6.36,0.332183,0.157066,-0.000471691
6.37,0.332804,0.158338,0.00028256
6.38,0.333433,0.159569,0.00105833
6.39,0.334048,0.160714,0.00187528
6.4,0.334643,0.161768,0.00270627
6.41,0.335238,0.162759,0.00355191
6.42,0.33586,0.163704,0.00442649
6.43,0.336531,0.164637,0.00532404
6.44,0.337272,0.165588,0.00626976
6.45,0.338083,0.166546,0.00728387
6.46,0.338923,0.167491,0.00838744
6.47,0.339768,0.168415,0.0095629
6.48,0.340637,0.169308,0.0107831
6.49,0.341544,0.170185,0.0120413
6.5,0.342466,0.171073,0.0133703
6.51,0.343369,0.171966,0.0148023
6.52,0.344229,0.172853,0.0162943
6.53,0.345053,0.173735,0.0178226
6.54,0.345881,0.17464,0.0194008
6.55,0.34673,0.175615,0.0210236
6.56,0.347611,0.176674,0.0226949
6.57,0.348531,0.177835,0.0244337
6.58,0.34948,0.179113,0.0262274
6.59,0.350462,0.180464,0.0280394
6.6,0.351471,0.181824,0.0298554
6.61,0.352481,0.183169,0.0316686
6.62,0.353474,0.184511,0.0334653
6.63,0.354412,0.185871,0.0352451
6.64,0.355253,0.187273,0.0370127
6.65,0.355993,0.188733,0.0387598
6.66,0.356643,0.190225,0.040466
6.67,0.357214,0.191709,0.0421108
6.68,0.357741,0.193174,0.0436734
6.69,0.358271,0.194609,0.0451417
6.7,0.358818,0.195998,0.046533
