dts,Node_5,Node_80,Node_6,Node_108
4.84,0.0572148,0.0470155,0.0413544,0.050811
4.85,0.0572534,0.0468507,0.0410778,0.0503771
4.86,0.0573564,0.0467149,0.0408493,0.0499417
4.87,0.0574853,0.0466031,0.0407019,0.0495159
4.88,0.057612,0.0465245,0.0406136,0.0490834
4.89,0.0577083,0.0464706,0.0405542,0.0486436
4.9,0.0577226,0.0464294,0.0404679,0.0482217
4.91,0.0576271,0.0463628,0.0403231,0.0478215
4.92,0.0574398,0.0462064,0.040123,0.0474197
4.93,0.0571869,0.0458994,0.0398567,0.0469606
4.94,0.0569024,0.0454248,0.0394987,0.0463902
4.95,0.0566337,0.0448107,0.0390229,0.0456687
4.96,0.0564303,0.0441296,0.03841,0.0448006
4.97,0.0562723,0.0434711,0.0376645,0.0438335
4.98,0.0560395,0.0429108,0.0368572,0.0428611
4.99,0.0556515,0.0424555,0.0360981,0.0419592
5.0,0.0550885,0.0419984,0.035455,0.0411627
5.01,0.0543553,0.0414068,0.034914,0.0404826
5.02,0.0534963,0.0406721,0.0343638,0.0398892
5.03,0.052562,0.0398252,0.0337011,0.0393189
5.04,0.0515787,0.0389186,0.0328868,0.0387028
5.05,0.0505401,0.0380045,0.0319624,0.0380545
5.06,0.0494128,0.0370851,0.0309813,0.0374507
5.07,0.0481665,0.0361086,0.0299661,0.0368584
5.08,0.0467686,0.0350441,0.0289075,0.0362023
5.09,0.045216,0.0339063,0.0278002,0.0354492
5.1,0.0435203,0.0326903,0.0266604,0.0345825
5.11,0.0416894,0.0313622,0.025484,0.0336166
5.12,0.0397344,0.0298907,0.0242317,0.0325625
5.13,0.037684,0.0282463,0.022869,0.0313837
5.14,0.0355823,0.0264286,0.0213728,0.0300417
5.15,0.033474,0.0244518,0.0197217,0.0285257
5.16,0.031421,0.0223385,0.017912,0.0268227
5.17,0.029462,0.0201392,0.0159503,0.0249177
5.18,0.0276255,0.0179689,0.0138419,0.0228259
5.19,0.0259302,0.0159393,0.0116041,0.020623
5.2,0.0243946,0.014081,0.00935407,0.0184527
5.21,0.0230421,0.0124069,0.00725875,0.0164483
5.22,0.0218662,0.0109052,0.00540635,0.0146507
5.23,0.0208415,0.00954639,0.00382767,0.0130579
5.24,0.0199371,0.00831294,0.00249865,0.0116626
5.25,0.0191175,0.00719089,0.00139491,0.0104361
5.26,0.0183529,0.00616711,0.000449403,0.00931088
5.27,0.017646,0.00524901,-0.000434489,0.00822139
5.28,0.0170106,0.00444783,-0.00131391,0.00713991
5.29,0.0164193,0.00376489,-0.00218954,0.00607495
5.3,0.0158053,0.00317889,-0.00303943,0.00503374
5.31,0.0151753,0.00261561,-0.0038324,0.00399833
5.32,0.0146017,0.00200638,-0.00456634,0.00294419
5.33,0.0141103,0.00134339,-0.00529985,0.00184748
5.34,0.0136641,0.000664923,-0.00609779,0.000665264
5.35,0.0131809,1.79067e-06,-0.00697471,-0.000623348
5.36,0.0125866,-0.000666715,-0.00787972,-0.00196228
5.37,0.0118539,-0.00138587,-0.0087692,-0.003268
5.38,0.0110122,-0.00219319,-0.00965953,-0.00450767
5.39,0.0101436,-0.00310611,-0.0105992,-0.00570276
5.4,0.00935039,-0.00410649,-0.0116454,-0.00687803
5.41,0.00865229,-0.00512931,-0.0128125,-0.00803827
5.42,0.00798405,-0.00609752,-0.014025,-0.00913491
5.43,0.00726755,-0.00700112,-0.0151621,-0.0100861
5.44,0.0064493,-0.00788786,-0.0161291,-0.0108246
5.45,0.0055192,-0.00881122,-0.0168978,-0.011336
5.46,0.00449922,-0.00980018,-0.0175095,-0.0116656
5.47,0.00343149,-0.0108082,-0.0180727,-0.0118757
5.48,0.00237497,-0.0117689,-0.0186699,-0.0120472
5.49,0.00137646,-0.0126275,-0.0193013,-0.0122524
5.5,0.000471879,-0.0133384,-0.0199358,-0.0125328
5.51,-0.000282664,-0.0138961,-0.0205371,-0.0128659
5.52,-0.00083714,-0.0143191,-0.0210486,-0.0131854
5.53,-0.00118488,-0.0146129,-0.0214166,-0.0134692
5.54,-0.00135431,-0.0147828,-0.021619,-0.0136785
5.55,-0.00137503,-0.0148305,-0.0216407,-0.0137982
5.56,-0.00126668,-0.0147439,-0.0214858,-0.0138314
5.57,-0.00104091,-0.0145183,-0.0211801,-0.0137252
5.58,-0.000703773,-0.0141552,-0.020757,-0.0134566
